Date,fips,vaccine
11-30-2021,31001,12175
11-30-2021,4011,3704
11-30-2021,48125,688
11-30-2021,47043,24028
11-30-2021,27129,7350
11-30-2021,47155,45716
11-30-2021,32021,2373
11-30-2021,51570,6258
11-30-2021,39093,178838
11-30-2021,12065,8075
11-30-2021,47103,13443
11-30-2021,50027,25372
11-30-2021,29079,3248
11-30-2021,18113,17286
11-30-2021,28007,8937
11-30-2021,30073,2943
11-30-2021,12099,920376
11-30-2021,48357,3558
11-30-2021,6077,424244
11-30-2021,26013,4650
11-30-2021,16071,1722
11-30-2021,38001,1014
11-30-2021,20071,598
11-30-2021,42073,41145
11-30-2021,48477,16868
11-30-2021,13247,18142
11-30-2021,17199,34156
11-30-2021,49033,1092
11-30-2021,13111,5787
11-30-2021,17023,6930
11-30-2021,17005,8232
11-30-2021,21157,15633
11-30-2021,55039,52743
11-30-2021,21169,3712
11-30-2021,17063,26641
11-30-2021,48167,189130
11-30-2021,30039,1174
11-30-2021,12111,176370
11-30-2021,38063,1873
11-30-2021,29081,2611
11-30-2021,24029,12179
11-30-2021,31179,3574
11-30-2021,51610,7969
11-30-2021,29053,7167
11-30-2021,30059,880
11-30-2021,5065,4762
11-30-2021,31077,887
11-30-2021,31105,1195
11-30-2021,56037,17761
11-30-2021,18079,10357
11-30-2021,51121,42986
11-30-2021,18073,14617
11-30-2021,53077,140003
11-30-2021,28025,8172
11-30-2021,1013,7008
11-30-2021,26055,59070
11-30-2021,36015,45521
11-30-2021,46015,2610
11-30-2021,5107,8099
11-30-2021,5147,3341
11-30-2021,39009,30962
11-30-2021,12069,225639
11-30-2021,37109,38375
11-30-2021,18183,15119
11-30-2021,35027,10698
11-30-2021,45081,5812
11-30-2021,40153,7123
11-30-2021,31181,1259
11-30-2021,42065,19009
11-30-2021,37153,19632
11-30-2021,50025,25872
11-30-2021,51073,20842
11-30-2021,36023,26021
11-30-2021,29027,19436
11-30-2021,48109,1072
11-30-2021,21155,8850
11-30-2021,13007,1077
11-30-2021,6031,62176
11-30-2021,37139,19462
11-30-2021,19153,299501
11-30-2021,27103,19617
11-30-2021,26139,155908
11-30-2021,26007,14872
11-30-2021,48239,6084
11-30-2021,39173,74189
11-30-2021,51590,13418
11-30-2021,37127,50067
11-30-2021,39095,225383
11-30-2021,42053,4910
11-30-2021,46043,1412
11-30-2021,48067,9823
11-30-2021,26037,42302
11-30-2021,20177,99120
11-30-2021,26129,8934
